Transaction Date,Post Date,Description,Category,Amount,Custom Category,User,Group
2/12/24,2/13/24,MALAYSIA BOLEH AMK HUB,Food & Drink,-3.72,Food,Both,
2/11/24,2/11/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/6/24,2/11/24,BUS/MRT 387250311,Travel,-2.91,Transport,Kevin,
2/11/24,2/11/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-10.05,Fees,Kevin,
2/9/24,2/11/24,ORCHARDCENTRAL,Merchandise & Inventory,-335.25,Misc,Kevin,
2/11/24,2/11/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.03,Fees,Kevin,
2/9/24,2/11/24,CURATE KITCHEN,Food & Drink,-1.12,Food,Kevin,
2/11/24,2/11/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.03,Fees,Kevin,
2/8/24,2/11/24,CURATE KITCHEN,Food & Drink,-1.12,Food,Kevin,
2/9/24,2/9/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/5/24,2/9/24,BUS/MRT 386720440,Travel,-2.88,Transport,Kevin,
2/9/24,2/9/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.05,Fees,Kevin,
2/8/24,2/9/24,CURATE KITCHEN,Food & Drink,-1.86,Food,Kevin,
2/8/24,2/8/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.02,Fees,Kevin,
2/7/24,2/8/24,CURATE KITCHEN,Food & Drink,-0.74,Food,Kevin,
2/7/24,2/7/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.08,Fees,Kevin,
2/2/24,2/7/24,BUS/MRT 385060757,Travel,-2.92,Transport,Kevin,
2/7/24,2/7/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.07,Fees,Kevin,
2/1/24,2/7/24,BUS/MRT 384532371,Travel,-2.52,Transport,Kevin,
2/7/24,2/7/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.11,Fees,Kevin,
2/3/24,2/7/24,BUS/MRT 385873917,Travel,-3.87,Transport,Kevin,
2/7/24,2/7/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.03,Fees,Kevin,
2/6/24,2/7/24,CURATE KITCHEN,Food & Drink,-1.12,food,Kevin,
2/7/24,2/7/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.04,Fees,Kevin,
2/6/24,2/7/24,CURATE KITCHEN,Food & Drink,-1.49,food,Kevin,
2/6/24,2/6/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.02,Fees,Kevin,
2/5/24,2/6/24,CURATE KITCHEN,Food & Drink,-0.75,food,Kevin,
2/6/24,2/6/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.37,Fees,Kevin,
2/5/24,2/6/24,PET LOVERS CENTRE AMK,Merchandise & Inventory,-12.48,Charlie,Both,
2/5/24,2/5/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-1.48,Fees,Kevin,
2/4/24,2/5/24,FAIRPRICE XTRA-AMK,Food & Drink,-49.51,Groceries,Both,
2/5/24,2/5/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-0.28,Fees,Kevin,
2/3/24,2/5/24,MCDONALD'S (AMK),Food & Drink,-9.37,Food,Kevin,
2/4/24,2/4/24,FOREIGN TRANSACTION FEE,Fees & Adjustments,-3.25,Fees,Kevin,
